0,"01,1,04:58,1.5,09:56,0.4,16:39,1.2,22:21,0.2"
1,"02,1,05:41,1.5,10:23,0.5,17:23,1.2,23:08,0.2"
2,"03,1,06:21,1.4,10:53,0.5,18:08,1.1"
3,"04,1,00:15,0.3,07:04,1.3,11:19,0.6,19:00,1.1"
4,"05,1,02:23,0.4,07:58,1.2,11:56,0.7,20:00,1.0"
5,"06,1,04:00,0.5,08:56,1.1,12:43,0.8,14:43,0.8,17:17,0.8,21:06,1.0"
6,"07,1,05:34,0.5,10:06,1.0,18:08,0.7,22:23,1.1"
7,"08,1,06:58,0.5,11:34,1.0,18:53,0.5,23:38,1.1"
8,"09,1,08:04,0.4,12:45,1.1,19:32,0.4"
9,"10,1,00:38,1.2,09:02,0.4,13:36,1.2,20:09,0.3"
10,"11,1,01:26,1.3,09:56,0.4,14:19,1.2,20:47,0.2"
11,"12,1,02:13,1.4,10:43,0.5,15:04,1.3,21:23,0.1"
12,"13,1,03:00,1.5,11:23,0.6,15:51,1.3,21:53,0.1"
13,"14,1,03:49,1.5,08:08,0.7,10:04,0.7,12:02,0.7,16:34,1.3,22:23,0.1"
14,"15,1,04:28,1.5,08:47,0.6,17:13,1.3,22:49,0.1"
15,"16,1,05:06,1.5,09:21,0.5,17:58,1.2,23:21,0.2"
16,"17,1,05:47,1.4,10:00,0.4,14:17,1.0,15:54,1.0,18:41,1.1,23:56,0.2"
17,"18,1,06:21,1.3,10:38,0.4,14:58,1.0,17:00,1.0,19:21,1.1"
18,"19,1,00:41,0.3,06:58,1.2,11:09,0.4,15:32,1.0,17:56,0.9,20:11,1.0"
19,"20,1,01:39,0.4,07:39,1.2,11:53,0.5,16:02,0.9,18:34,0.8,21:19,1.0"
20,"21,1,02:53,0.5,08:24,1.1,12:38,0.6,16:28,0.8,18:58,0.7,22:43,1.0"
21,"22,1,04:08,0.6,09:24,1.0,13:54,0.7,16:41,0.7,19:11,0.6,23:58,1.1"
22,"23,1,05:28,0.5,10:38,1.0,19:30,0.5"
23,"24,1,00:51,1.2,06:34,0.5,11:49,1.1,19:47,0.4"
24,"25,1,01:30,1.3,07:26,0.4,12:47,1.2,20:04,0.3"
25,"26,1,02:08,1.4,08:08,0.4,13:38,1.3,20:28,0.2"
26,"27,1,02:47,1.5,08:41,0.4,14:23,1.3,20:53,0.1"
27,"28,1,03:24,1.5,09:09,0.3,15:08,1.4,21:26,0.1"
28,"29,1,04:02,1.6,09:32,0.4,15:54,1.4,22:00,0.1"
29,"30,1,04:45,1.6,09:53,0.4,16:38,1.4,22:34,0.1"
30,"31,1,05:23,1.6,10:11,0.4,17:15,1.3,23:09,0.2"
31,"01,2,06:02,1.5,10:34,0.4,17:54,1.3,23:21,0.3"
32,"02,2,06:47,1.3,11:02,0.5,18:34,1.2,23:19,0.5"
33,"03,2,07:30,1.2,11:30,0.5,19:17,1.1,23:32,0.6"
34,"04,2,01:56,0.7,04:28,0.6,08:23,1.0,12:08,0.6,20:17,1.0,23:54,0.7"
35,"05,2,02:24,0.8,06:04,0.6,09:39,0.9,13:15,0.7,16:15,0.8,17:56,0.7,21:47,1.0"
36,"06,2,00:15,0.9,03:00,1.0,07:17,0.5,11:11,0.9,18:51,0.6,23:24,1.0"
37,"07,2,01:13,1.0,03:23,1.0,08:09,0.4,12:34,1.0,19:26,0.4"
38,"08,2,00:45,1.1,08:58,0.4,13:26,1.2,19:58,0.3"
39,"09,2,01:30,1.3,09:38,0.4,14:09,1.3,20:28,0.1"
40,"10,2,02:09,1.4,10:08,0.4,14:54,1.4,20:54,0.1"
41,"11,2,02:51,1.5,10:36,0.5,15:34,1.4,21:23,0.0"
42,"12,2,03:26,1.5,08:23,0.5,16:08,1.4,21:47,0.0"
43,"13,2,04:02,1.5,08:45,0.4,16:49,1.4,22:13,0.0"
44,"14,2,04:41,1.5,09:11,0.3,17:21,1.4,22:41,0.1"
45,"15,2,05:11,1.5,09:47,0.3,17:58,1.3,23:11,0.2"
46,"16,2,05:49,1.4,10:15,0.3,18:36,1.2,23:47,0.3"
47,"17,2,06:19,1.3,10:53,0.3,19:11,1.1"
48,"18,2,00:28,0.5,06:58,1.2,11:23,0.4,16:15,0.9,17:49,0.9,20:09,1.0"
49,"19,2,01:39,0.6,07:47,1.1,12:02,0.5,16:26,0.9,18:21,0.8,21:36,1.0"
50,"20,2,03:58,0.7,08:51,1.0,12:54,0.6,16:36,0.8,18:53,0.7,23:39,1.0"
51,"21,2,05:47,0.6,10:02,1.0,19:02,0.6"
52,"22,2,00:53,1.1,06:45,0.5,11:13,1.0,19:21,0.4"
53,"23,2,01:28,1.3,07:24,0.4,12:19,1.1,19:43,0.3"
54,"24,2,01:58,1.4,07:58,0.3,13:17,1.3,20:11,0.2"
55,"25,2,02:32,1.5,08:30,0.3,14:06,1.4,20:45,0.1"
56,"26,2,03:06,1.6,08:56,0.3,14:53,1.5,21:21,0.0"
57,"27,2,03:45,1.7,09:17,0.3,15:38,1.5,21:51,0.0"
58,"28,2,04:19,1.6,09:28,0.3,16:15,1.5,22:21,0.1"
59,"01,3,05:00,1.6,09:45,0.3,16:56,1.5,22:17,0.2"
60,"02,3,05:39,1.4,10:06,0.3,17:32,1.4,22:15,0.4"
61,"03,3,06:17,1.3,10:32,0.3,18:06,1.3,22:26,0.5"
62,"04,3,01:36,0.7,03:17,0.7,07:04,1.1,11:04,0.4,18:51,1.1,22:49,0.6"
63,"05,3,02:02,0.9,05:08,0.7,08:04,0.9,11:51,0.5,19:47,1.0,23:04,0.7"
64,"06,3,02:36,1.1,06:28,0.6,09:34,0.8,13:04,0.6,21:06,0.9,23:23,0.8"
65,"07,3,03:02,1.1,07:19,0.5,11:13,0.9,18:30,0.6"
66,"08,3,03:24,1.1,08:02,0.4,12:24,1.1,18:58,0.4"
67,"09,3,02:30,1.1,08:38,0.4,13:09,1.2,19:26,0.3"
68,"10,3,01:30,1.2,09:02,0.4,13:53,1.3,19:49,0.1"
69,"11,3,01:56,1.4,09:23,0.4,14:28,1.4,20:13,0.0"
