0,1,1,4:20,"3,1"
1,1,1,10:27,"0,5"
2,1,1,16:35,"3,4"
3,1,1,23:02,"0,0"
4,2,1,5:15,"3,3"
5,2,1,11:22,"0,3"
6,2,1,17:29,"3,5"
7,2,1,23:54,"-0,2"
8,3,1,6:06,"3,3"
9,3,1,12:12,"0,2"
10,3,1,18:19,"3,5"
11,3,1,n,n
12,4,1,0:42,"-0,3"
13,4,1,6:53,"3,4"
14,4,1,12:59,"0,2"
15,4,1,19:07,"3,5"
16,5,1,1:26,"-0,2"
17,5,1,7:38,"3,3"
18,5,1,13:42,"0,3"
19,5,1,19:53,"3,4"
20,6,1,2:07,"0,0"
21,6,1,8:21,"3,2"
22,6,1,14:24,"0,5"
23,6,1,20:37,"3,2"
24,7,1,2:47,"0,2"
25,7,1,9:04,"3,0"
26,7,1,15:06,"0,7"
27,7,1,21:23,"3,1"
28,8,1,3:27,"0,5"
29,8,1,9:48,"2,9"
30,8,1,15:51,"0,9"
31,8,1,22:11,"2,9"
32,9,1,4:09,"0,8"
33,9,1,10:35,"2,8"
34,9,1,16:42,"1,0"
35,9,1,23:05,"2,8"
36,10,1,4:59,"1,0"
37,10,1,11:29,"2,8"
38,10,1,17:41,"1,1"
39,10,1,n,n
40,11,1,0:04,"2,7"
41,11,1,5:56,"1,1"
42,11,1,12:27,"2,8"
43,11,1,18:45,"1,0"
44,12,1,1:06,"2,7"
45,12,1,6:56,"1,1"
46,12,1,13:24,"2,8"
47,12,1,19:43,"0,9"
48,13,1,2:05,"2,8"
49,13,1,7:52,"1,0"
50,13,1,14:16,"2,9"
51,13,1,20:36,"0,7"
52,14,1,2:57,"2,9"
53,14,1,8:42,"0,9"
54,14,1,15:01,"3,0"
55,14,1,21:24,"0,6"
56,15,1,3:43,"2,9"
57,15,1,9:29,"0,8"
58,15,1,15:41,"3,1"
59,15,1,22:09,"0,5"
60,16,1,4:23,"3,0"
61,16,1,10:12,"0,7"
62,16,1,16:16,"3,1"
63,16,1,22:52,"0,5"
64,17,1,4:59,"3,0"
65,17,1,10:55,"0,7"
66,17,1,16:50,"3,2"
67,17,1,23:32,"0,4"
68,18,1,5:33,"3,1"
69,18,1,11:36,"0,6"
70,18,1,17:23,"3,2"
71,18,1,n,n
72,19,1,0:11,"0,4"
73,19,1,6:06,"3,1"
74,19,1,12:16,"0,7"
75,19,1,17:56,"3,2"
76,20,1,0:48,"0,4"
77,20,1,6:38,"3,1"
78,20,1,12:55,"0,7"
79,20,1,18:29,"3,2"
80,21,1,1:25,"0,5"
81,21,1,7:10,"3,0"
82,21,1,13:33,"0,8"
83,21,1,19:03,"3,1"
84,22,1,2:02,"0,6"
85,22,1,7:43,"2,9"
86,22,1,14:13,"0,9"
87,22,1,19:43,"3,0"
88,23,1,2:39,"0,8"
89,23,1,8:21,"2,9"
90,23,1,14:55,"1,1"
91,23,1,20:31,"2,8"
92,24,1,3:18,"1,1"
93,24,1,9:09,"2,8"
94,24,1,15:44,"1,2"
95,24,1,21:34,"2,7"
96,25,1,4:07,"1,3"
97,25,1,10:13,"2,7"
98,25,1,16:46,"1,3"
99,25,1,22:51,"2,5"
100,26,1,5:12,"1,5"
101,26,1,11:30,"2,7"
102,26,1,18:03,"1,3"
103,26,1,n,n
104,27,1,0:21,"2,5"
105,27,1,6:35,"1,5"
106,27,1,12:55,"2,7"
107,27,1,19:30,"1,2"
108,28,1,1:55,"2,6"
109,28,1,8:02,"1,3"
110,28,1,14:18,"2,9"
111,28,1,20:50,"0,8"
112,29,1,3:15,"2,8"
113,29,1,9:17,"1,0"
114,29,1,15:30,"3,1"
115,29,1,21:58,"0,5"
116,30,1,4:18,"3,1"
117,30,1,10:20,"0,7"
118,30,1,16:31,"3,3"
119,30,1,22:55,"0,1"
120,31,1,5:12,"3,3"
121,31,1,11:14,"0,3"
122,31,1,17:25,"3,5"
123,31,1,23:45,"-0,2"
124,32,1,4:20,"3,1"
125,32,1,10:27,"0,5"
126,32,1,16:35,"3,4"
